gene,U_statistic_MWU,p_value_MWU,FDR,hbMonocytes,htMonocytes,fold_change
SCARF1,696112,0.002695785,0.003281826,0.026902811,0.013539366,0.892340846
SCCPDH,700670.5,0.001262321,0.001579968,0.040914082,0.041769585,1.00619308
SCFD1,739903,2.53276E-10,6.40187E-10,0.112870652,0.068366689,0.788172379
SCGB1A1,680912.5,0.992262986,0.992670487,0.000323168,0.136539508,2.396407503
SCGB3A1,678041,0.258542715,0.272320853,0.002857421,0.080525674,1.776046532
SCHIP1,673328,0.117763896,0.127357536,0.012667228,0.052628745,1.363644342
SCIMP,826612,1.87338E-37,5.0287E-36,0.247297996,0.094986376,0.557905194
SCIN,747839,6.89061E-14,2.69864E-13,0.086805126,0.043247153,0.763310039
SCLT1,711620.5,7.4934E-05,0.000104353,0.077812451,0.055348275,0.871660405
SCN11A,772747,2.37234E-21,2.10913E-20,0.110118829,0.057528133,0.74635939
SCN1B,691139.5,0.073133679,0.08014109,0.021900572,0.03282356,1.09169342
SCNM1,751433.5,7.48284E-13,2.55834E-12,0.134741859,0.076943633,0.750833622
SCO1,745629,5.6368E-15,2.51488E-14,0.096762391,0.05535695,0.786555501
SCO2,705116.5,0.015470146,0.017799161,0.113228631,0.14936327,1.171699198
SCOC,687820,0.197968943,0.210360892,0.018863199,0.032730542,1.119455718
SCP2,719906,0.000467945,0.00060836,0.168603511,0.16275727,0.978007432
SCPEP1,912091,7.0461E-60,4.37307E-58,0.636422909,0.261381358,0.488798665
SCRG1,734137.5,8.30181E-14,3.21386E-13,0.051797684,0.033048579,0.874185837
SCRIB,703713,2.4115E-05,3.51708E-05,0.034618376,0.015723229,0.856684391
SCRN1,721723.5,1.03742E-08,2.16737E-08,0.062210051,0.038746983,0.85283577
SCRN2,696162.5,0.003676239,0.004436071,0.021484446,0.018070766,0.971243288
SCYL1,734688.5,3.65437E-10,9.08835E-10,0.10742878,0.072887011,0.831218127
SCYL2,694477.5,0.090859923,0.098964798,0.048026692,0.061572268,1.093256193
SCYL3,711442.5,4.06624E-09,8.90169E-09,0.036825708,0.01011664,0.800753303
SDAD1,723843.5,4.24484E-10,1.0466E-09,0.058049286,0.026280159,0.795399326
SDC2,621403.5,2.19009E-19,1.57493E-18,0.00879196,0.134538882,2.186107169
SDC4,593941.5,6.50678E-29,1.03938E-27,0.008519198,0.186952702,2.687414511
SDCBP,588672.5,8.24071E-09,1.7437E-08,1.151357032,1.759672746,1.487205426
SDCCAG3,704388,1.23347E-05,1.84764E-05,0.034652017,0.019984589,0.888779102
SDCCAG8,772955,1.03086E-14,4.47029E-14,0.189957346,0.146290992,0.847948784
SDE2,650403,4.46467E-05,6.35184E-05,0.047946988,0.123613405,1.521220807
SDF2,713058,9.43751E-05,0.000130328,0.076069709,0.05880267,0.900359993
SDF2L1,667917,0.066158384,0.072685455,0.031004362,0.090409993,1.463278043
SDF4,710855,0.005254816,0.006278716,0.150097182,0.156736818,1.026846149
SDHA,733686.5,1.0208E-09,2.40141E-09,0.075415763,0.055770521,0.886207087
SDHAF2,727261.5,3.79039E-09,8.32588E-09,0.070822753,0.039135907,0.811440889
SDHAF4,705556.5,2.01475E-07,3.64834E-07,0.026180613,0.017101349,0.92642719
SDHB,741167.5,9.3265E-08,1.75101E-07,0.155501299,0.140751054,0.941635388
SDHC,754234,2.99146E-07,5.30363E-07,0.401791066,0.408634953,1.013714777
SDHD,755420.5,3.62901E-12,1.15333E-11,0.147069978,0.100473042,0.809259176
SDR39U1,717846.5,1.33623E-07,2.46689E-07,0.06378136,0.044829288,0.882289579
SDS,571182,6.39563E-36,1.5658E-34,0.010645667,0.599434642,6.458309915
SDSL,658290,6.39487E-05,8.96699E-05,0.008774943,0.07544803,1.628994499
SEC11A,837621.5,3.33501E-27,4.73707E-26,0.583678798,0.376948986,0.696388896
SEC11C,686990,0.345146724,0.359613952,0.031551302,0.050870203,1.150019618
SEC13,705717,0.01936139,0.022122114,0.132877462,0.155149979,1.096794108
SEC14L1,688722,0.539372225,0.555036747,0.269664228,0.367431004,1.266475256
SEC14L4,771534.5,8.22168E-16,4.0522E-15,0.143188001,0.121272402,0.908841696
SEC16A,724601.5,4.3008E-06,6.74505E-06,0.128754056,0.096511866,0.857321924
SEC22A,722752,7.23519E-11,1.95941E-10,0.053534764,0.021158744,0.785246944
SEC22B,700645,0.030047871,0.03387164,0.090082773,0.106368976,1.086949106
SEC22C,754967.5,3.19643E-16,1.66201E-15,0.09343537,0.063406806,0.842501943
SEC23A,802509.5,1.63049E-24,1.88241E-23,0.185904532,0.112715788,0.74150042
SEC23B,700867,0.025496624,0.028874838,0.092692608,0.083888668,0.95364326
SEC23IP,728253,5.8699E-10,1.42279E-09,0.068090714,0.033167244,0.788746224
SEC24A,677008,0.579276039,0.593904222,0.032164321,0.064770643,1.252002563
SEC24B,723688,8.61293E-09,1.82009E-08,0.056684178,0.046083987,0.931126761
SEC24C,726433.5,3.37344E-09,7.45261E-09,0.070259612,0.047546176,0.864384562
SEC24D,707990.5,0.002779248,0.003381743,0.085212696,0.114597607,1.161068614
SEC31A,768458.5,5.01913E-12,1.56601E-11,0.254991367,0.217113986,0.892459766
SEC31B,725928,3.98071E-13,1.41407E-12,0.050688503,0.012848256,0.744172329
SEC61A1,731718,2.1379E-06,3.45926E-06,0.133529476,0.164309458,1.133388719
SEC61B,705947.5,0.050291185,0.055724051,0.215212526,0.252924355,1.120702163
SEC61G,708840.5,0.010393104,0.012118033,0.21612089,0.1970975,0.939289397
SEC62,619065,8.12615E-06,1.23701E-05,0.258142874,0.525041362,1.751049429
SEC63,715425.5,0.000538798,0.000695739,0.136075082,0.128266805,0.966531118
SECISBP2,711751.5,0.000179706,0.000242126,0.074492214,0.076602098,1.012287001
SECISBP2L,732104,1.50025E-11,4.41111E-11,0.066417646,0.036510274,0.817239221
SECTM1,727556.5,8.43238E-05,0.000116961,0.195902213,0.186360196,0.967447468
SEH1L,716871,3.8542E-05,5.50746E-05,0.081758924,0.081960183,1.001124459
SEL1L,715764,1.73986E-05,2.57257E-05,0.070126647,0.071340228,1.007251702
SELENOF,754731,7.48308E-10,1.79065E-09,0.18670662,0.149581894,0.869247437
SELENOH,769082.5,1.46929E-16,7.93175E-16,0.127097989,0.092711729,0.846710622
SELENOI,705989,2.93296E-05,4.24481E-05,0.0321011,0.02035805,0.909197814
SELENOK,498859,8.49308E-44,3.04252E-42,0.102477991,0.657538786,3.779438079
SELENON,710086.5,5.52838E-06,8.57097E-06,0.044002566,0.020683622,0.834883363
SELENOO,710427.5,2.10414E-05,3.08776E-05,0.058669995,0.034790663,0.846823799
SELENOS,662506,0.061094056,0.067372169,0.142956981,0.240788655,1.407323912
SELENOT,739462,1.2805E-05,1.91515E-05,0.37369062,0.370549353,0.99332944
SELENOW,760923.5,9.60059E-16,4.68443E-15,0.138042904,0.085696303,0.777501716
SELL,1000794,1.9919E-100,2.39613E-98,1.596604723,0.492136704,0.347946072
SELPLG,859847.5,3.98975E-45,1.51269E-43,0.348986732,0.134601374,0.519542928
SEM1,749705,1.89709E-08,3.84229E-08,0.205752423,0.206881496,1.003726597
SEMA3B,758649.5,6.61725E-13,2.27277E-12,0.12195836,0.091363133,0.860412341
SEMA3C,757644.5,9.55764E-13,3.2158E-12,0.140233781,0.121900543,0.922793868
SEMA4A,769341,4.97343E-18,3.13461E-17,0.134371645,0.084957686,0.786637415
SEMA4B,742265.5,3.44777E-15,1.58393E-14,0.090956914,0.032092962,0.687195774
SEMA4C,683254,0.572374364,0.587137151,0.013455561,0.027253812,1.124667869
SEMA4D,711042,0.013128513,0.01518749,0.19877054,0.238658369,1.134758423
SEMA4F,716026,9.72518E-07,1.63383E-06,0.040417027,0.03730756,0.977408951
SEMA4G,721684.5,1.15249E-10,3.03839E-10,0.042180368,0.018736121,0.831826238
SEMA6B,638363.5,1.23727E-07,2.29288E-07,0.021732293,0.141980488,2.010855785
SENP2,707288,7.34123E-05,0.000102412,0.04668138,0.030049411,0.884424703
